similar_of_said
说道
所说
指出
回答
问
讲
说出
写道
问道
确信
以为
告诉
断言
提到
认为
断定
声称
谈到
感叹
直言
答道
觉得
暗示
却说
宣称
质问
深信
骂
看来
开玩笑
形容
坦言
明确指出
记得
辩称
谈
说起
相信
引述
陈述
指陈
表示
诬蔑
称赞
普遍认为
怀疑
说
质疑
猜测
主张
认定
推测
指责
强调
看作
并不认为
批评
误解
坚信
看成
公认
坚称
认作
解读
认同
误认为
肯定
看做
视作
否认
否定
误以为
指为
推断
称之为
假定
视其为
所称
评价
表明
承认
透露
警告
告知
坦承
回应
澄清
控告
声明
控诉
证实
披露
谴责
辩护
据称
确认
援引
公开
诽谤
重申
指称
辩解
斥责
显示
证明
发现
判断
推论
推断出
阐明
揭示
预测
分析
指明
表达
揭露
表态
